open,high,low,close,volume,date
17369.970703125,17670.759765625,17369.970703125,17666.400390625,,02/03/2015
17664.990234375,17782.220703125,17603.2109375,17673.01953125,,02/04/2015
17677.259765625,17889.580078125,17677.259765625,17884.880859375,,02/05/2015
17881.5390625,17951.08984375,17764.400390625,17824.2890625,,02/06/2015
17821.490234375,17821.490234375,17685.3203125,17729.2109375,,02/09/2015
17736.150390625,17890.33984375,17729.240234375,17868.759765625,,02/10/2015
17867.859375,17897.2109375,17759.650390625,17862.140625,,02/11/2015
17862.140625,17975.650390625,17862.140625,17972.380859375,,02/12/2015
17968.650390625,18037.41015625,17961.759765625,18019.349609375,,02/13/2015
18019.80078125,18052.009765625,17951.41015625,18047.580078125,,02/17/2015
18045.720703125,18048.69921875,17982.19921875,18029.849609375,,02/18/2015
18028.669921875,18028.669921875,17924.599609375,17985.76953125,,02/19/2015
17985.76953125,18144.2890625,17878.369140625,18140.439453125,,02/20/2015
18140.759765625,18141.2109375,18054.83984375,18116.83984375,,02/23/2015
18112.5703125,18231.08984375,18098.73046875,18209.189453125,,02/24/2015
18208.669921875,18244.380859375,18182.759765625,18224.5703125,,02/25/2015
18224.41015625,18239.4296875,18157.0703125,18214.419921875,,02/26/2015
18213.259765625,18213.259765625,18132.380859375,18132.69921875,,02/27/2015
18134.05078125,18288.630859375,18122.58984375,18288.630859375,,03/02/2015
18281.94921875,18281.94921875,18136.880859375,18203.369140625,,03/03/2015
18203.369140625,18203.369140625,18029.5,18096.900390625,,03/04/2015
18096.900390625,18160.349609375,18087.650390625,18135.720703125,,03/05/2015
18135.720703125,18135.720703125,17825.150390625,17856.779296875,,03/06/2015
17856.560546875,18031.0390625,17856.560546875,17995.720703125,,03/09/2015
17989.560546875,17989.560546875,17662.939453125,17662.939453125,,03/10/2015
17662.939453125,17731.779296875,17627.0,17635.390625,,03/11/2015
